Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
Aero Silza,MX,,,,AEROSILZA,N/A,,,,,,,,,,,,,,
Aero Soga,GW,,,,AEROSOGA,N/A,,,,,,,,,,,,,,
Aero Sotravia,FR,,,,SOTRAVIA,N/A,,,1,1,0,,,,,,,facebook.com/aerosotravia,,
Aero Tak,NG,,,,AEROTAK,N/A,,,1,,,,,,,,,,,
Aero Taxi de los Cabos,MX,,,,AEROCABOS,N/A,,,,,,,,,,,,,,
Aero Taxi,CA,,,,AIRQUASAR,N/A,,,,,,,,,,,,,,
Aero Taxi Del Potosi,MX,,,,TAXIPOTOSI,N/A,,,,,,,,,,,,,,
Aero Taxis Y Servicios Alfe,MX,,,,AEROALFE,N/A,,,,,,,,,,,,,,
Aero-Tech Services,US,,,,ATECH,N/A,0,,1,,,5,16,0,0,,,facebook.com/aerotechservices,,linkedin.com/company/aero-tech-services-inc-
Aero Toluca Internacional SA de CV,MX,,,,AEROTOLUCA,N/A,0,,,,,1,40,0,0,,,,,
Aero Tomza,MX,,,,AEROTOMZA,N/A,,,,,,,,,,,,,,
Aero Transporte (ATSA),PE,4A,212,212,ATSA,N/A,0,,1,,1,18,30,0,0,,,,,
Aero Transporte La Montana,VE,,,,LAMONTANA,N/A,,,,,,,,,,,,,,
Aero Transportes Empresariales,MX,,,,EMPRESARIALES,N/A,,,,,,,,,,,,,,
Aero Transportes Del Humaya,MX,,,,AEROHUMAYA,N/A,,,,,,,,,,,,,,
Aero Tropical,AO,,,,AEROTROPICAL,N/A,,,,,,,,,,,,,,
Aero Util,MX,,,,AEROUTIL,N/A,0,,1,,,1,25,0,0,,,,,
Aero Vics,MX,,,,AEROVICS,N/A,,,,,,,,,,,,,,
Aero Virel,MX,,,,VIREL,N/A,0,,,,,1,19,0,0,,,,,
Aero Vision,FR,,,,AEROVISION,N/A,0,,,,,1,34,0,0,,,,,
Aero Vodochody,CZ,,,,AEROCZECH,N/A,,,,,,,,,,,,facebook.com/aerovodochody,,linkedin.com/company/110493
Aero Ways,US,,,,TARKA,N/A,0,,,,,16,13.2,0,0,,,,,
Aero Yaqui Mayo,MX,,,,AEROYAQUI,N/A,,,,,,,,,,,,,,
Aeroaljarafe,ES,,,,ALJARAFE,N/A,,,,,,,,,,,,facebook.com/AeroAljarafe,instagram.com/aeroaljarafe146/,
Aeroatlas,CO,,,,ATCO,N/A,,,,,,,,,,,,,,
Aeroavila Transortes Aereos,VE,,,,AVILA,N/A,,,,,,,,,,,,,,
Aerobanana,MX,,,,AEROBANANA,N/A,,,,,,,,,,,,,,
Aerobell Airlines,CR,,,,CALI,N/A,,,1,1,,,,,,,,facebook.com/aerobell,instagram.com/aerobellairlines/,
Aerobona,MX,,,,AEROBONA,N/A,0,,,,,1,4,0,0,,,,,
Aerobridge,US,,,,AEROBRIDGE,N/A,,,,,,,,,,,,,,
Aerocardal,CL,,,,AEROCARDAL,N/A,,,,,,11,18.3,,,,,facebook.com/aerocardalchile,instagram.com/aerocardalchile/,linkedin.com/company/aerocardal
Aerocare,ZA,,,,SKYDOCTOR,N/A,,,,,,,,,,,,,,
Aerocaribe Cord,VE,,,,IBCORD,N/A,0,,,,,2,38,0,0,,,,,
Aerocaribe Airlines,VE,,,,CARIBE,N/A,,,,,,,,,,,,facebook.com/Aerocaribe-Airlines-1182563345196852,instagram.com/aerocaribeairlines/,
"Aerocenter, Escuela de Formacion de Pilotos Privados de Avion",ES,,,,AEROCENTER,N/A,,,,,,,,,,,,,,
Aeroclip,KZ,,,,AEROCLIP,N/A,,,,,,,,,,,,,,
Aeroclub Barcelona-Sabadell,ES,,,,,N/A,,,,,,,,,,,,,,
Aeroclub de Vitoria,ES,,,,,N/A,,,,,,,,,,,,,,
Aeroclub De Alicante,ES,,,,,N/A,,,,,,,,,,,,facebook.com/Aeroclub-de-Alicante-2015453388680427,instagram.com/aeroclubalicante/,
Aeroclub de Mallorca,ES,,,,MALLORCA,N/A,,,,,,,,,,,,,,
Aeroclub de Albacete,ES,,,,,N/A,,,,,,,,,,,,,,
Aeroclub Esztergom,HU,,,,AEROESTERGOM,N/A,,,,,,,,,,,,,,
Aeroclube de Coimbra,PT,,,,MONDEGO,N/A,,,1,,,,,,,,,,,
Aerocombi,ES,,,,IBERSWISS,N/A,,,,,,,,,,,,,,
Aerocorp,MX,,,,CORPSA,N/A,,,,,,,,,,,,,,
Aerocorp,MX,,,,AEROCORPSA,N/A,,,,,,,,,,,,,,
Aerocorporativos,MX,,,,AEROCORPORATIVOS,N/A,,,,,,,,,,,,,,
Aerocredo,RU,,,,,N/A,,,,,,,,,,,,,,
