itinerary_id,itineraries
it541,18467-2508060700--32695-1-10968-2508061320
it542,18467-2508060900--32695-1-10968-2508061522
it543,18467-2508061640--31722-0-10968-2508061902
it544,18467-2508060820--31722-0-10968-2508061042
it545,18467-2508062000--31722-0-10968-2508062222
it546,18467-2508060700--31722-1-10968-2508061124
it547,18467-2508061130--32573-1-10968-2508061711
it548,18467-2508070839--32573-0-10968-2508071054
it549,18467-2508071445--32573-0-10968-2508071705
it550,18467-2508071845--32573-0-10968-2508072105
it551,18467-2508070820--31722-0-10968-2508071042
it552,18467-2508072000--31722-0-10968-2508072222
it553,18467-2508071640--31722-0-10968-2508071902
it554,18467-2508070745--32385-1-10968-2508071215
it555,18467-2508070815--31722-1-10968-2508071320
it556,18467-2508070600--32385-1-10968-2508071015
it557,18467-2508071320--32385-1-10910-2508071749
it558,18467-2508071640--32695-0-10968-2508071902
it559,18467-2508072000--32695-0-10968-2508072222
it560,18467-2508070820--32695-0-10968-2508071042
it561,18467-2508071715--32695-1-10968-2508072229
it562,18467-2508071300--32695-1-10968-2508071858
it563,18467-2508070700--32695-1-10968-2508071320
it564,18467-2508070900--32695-1-10968-2508071522
it565,18467-2508071100--31722-1-10968-2508071522
it566,18467-2508070700--31722-1-10968-2508071124
it567,18467-2508071300--31722-1-10968-2508071858
it568,18467-2508080839--32573-0-10968-2508081054
it569,18467-2508081445--32573-0-10968-2508081705
it570,18467-2508081845--32573-0-10968-2508082105
it571,18467-2508080600--31679-1-10910-2508081115
it572,18467-2508080600--32385-1-10968-2508081015
