itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2601041125--32573-1-10968-2601041555,economy,C$493,3604,Toronto Pearson International,Chicago O'Hare International,120,1,United Airlines,Air Canada,False,0.538285,2026-01-04,11:25:00,2026-01-04,12:25:00
18467-2601041125--32573-1-10968-2601041555,economy,C$493,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,United Airlines,Republic Airline United Express,False,0.538285,2026-01-04,13:15:00,2026-01-04,15:55:00
18467-2601040615--32385-1-10910-2601041116,premium_economy,C$739,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,American Airlines,American Airlines,False,0.526935,2026-01-04,06:15:00,2026-01-04,08:50:00
18467-2601040615--32385-1-10968-2601041256,premium_economy,C$645,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Air Canada,United Airlines,False,0.511252,2026-01-04,06:15:00,2026-01-04,08:50:00
18467-2601040615--32385-1-10968-2601041256,premium_economy,C$645,414,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,146,1,Air Canada,Air Canada,False,0.511252,2026-01-04,11:30:00,2026-01-04,12:56:00
18467-2601041825--32573-0-10968-2601042105,business,C$713,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,United Airlines,Air Canada,False,0.685263,2026-01-04,18:25:00,2026-01-04,21:05:00
18467-2601041400--32695-0-10968-2601041642,business,C$846,1031,Toronto Pearson International,Dallas Fort Worth International,222,0,American Airlines,Envoy Air,False,0.473533,2026-01-04,14:00:00,2026-01-04,16:42:00
18467-2601041940--32695-0-10968-2601042222,business,C$846,1033,Toronto Pearson International,Dallas Fort Worth International,222,0,American Airlines,American Airlines,False,0.442163,2026-01-04,19:40:00,2026-01-04,22:22:00
18467-2601040809--32573-0-10968-2601041054,business,C$713,1169,Toronto Pearson International,Dallas Fort Worth International,225,0,United Airlines,United Airlines,False,0.816121,2026-01-04,08:09:00,2026-01-04,10:54:00
18467-2601041405--32573-0-10968-2601041705,business,C$713,3993,Toronto Pearson International,Dallas Fort Worth International,240,0,United Airlines,United Airlines,False,0.999,2026-01-04,14:05:00,2026-01-04,17:05:00
